cases	file_name	project
TCGA-77-A5GF-01A-21D-A27L-05	9283265142_R04C01_Grn.idat	TCGA-LUSC
TCGA-22-5472-11A-11D-1633-05	6042308087_R06C01_Red.idat	TCGA-LUSC
TCGA-NC-A5HF-01A-11D-A26N-05	9305216074_R06C01_Grn.idat	TCGA-LUSC
TCGA-63-A5MI-01A-12D-A27L-05	9283265142_R06C01_Red.idat	TCGA-LUSC
TCGA-85-A50M-01A-21D-A25R-05	8784241130_R06C02_Red.idat	TCGA-LUSC
TCGA-22-4609-01A-21D-2123-05	6929742073_R02C02_Red.idat	TCGA-LUSC
TCGA-77-8008-01A-21D-2185-05	7786923091_R06C01_Red.idat	TCGA-LUSC
TCGA-98-A53I-01A-31D-A25R-05	8784241130_R02C02_Red.idat	TCGA-LUSC
TCGA-56-A5DR-01A-11D-A27L-05	9283265144_R05C01_Red.idat	TCGA-LUSC
TCGA-85-8052-01A-11D-2245-05	6264488071_R06C02_Red.idat	TCGA-LUSC
TCGA-39-5037-11A-01D-1440-05	6055424084_R02C01_Grn.idat	TCGA-LUSC
TCGA-O2-A52N-01A-11D-A26N-05	9305216121_R05C01_Red.idat	TCGA-LUSC
TCGA-68-A59J-01A-21D-A26N-05	9305216121_R01C02_Grn.idat	TCGA-LUSC
TCGA-77-7139-01A-11D-2043-05	6285633083_R02C01_Red.idat	TCGA-LUSC
TCGA-77-A5G6-01A-11D-A27L-05	9283265142_R05C02_Grn.idat	TCGA-LUSC
TCGA-77-8153-01A-11D-2398-05	8784225109_R03C01_Red.idat	TCGA-LUSC
TCGA-22-5485-11A-01D-1633-05	6042308078_R02C01_Red.idat	TCGA-LUSC
TCGA-85-A53L-01A-21D-A26N-05	9305216133_R06C01_Red.idat	TCGA-LUSC
TCGA-43-6773-01A-41D-1947-05	6264496026_R04C02_Grn.idat	TCGA-LUSC
TCGA-56-A5DS-01A-11D-A27L-05	9283265144_R03C02_Grn.idat	TCGA-LUSC
TCGA-MF-A522-01A-11D-A25R-05	8784241048_R02C02_Grn.idat	TCGA-LUSC
TCGA-56-8082-01A-11D-2245-05	6264488072_R06C01_Grn.idat	TCGA-LUSC
TCGA-43-A56V-01A-11D-A26N-05	9305216074_R02C02_Red.idat	TCGA-LUSC
TCGA-63-A5MN-01A-22D-A27L-05	9283265144_R06C01_Red.idat	TCGA-LUSC
TCGA-33-AASJ-01A-11D-A408-05	3999492078_R01C02_Grn.idat	TCGA-LUSC
TCGA-96-8169-01A-11D-2294-05	6285633054_R05C01_Grn.idat	TCGA-LUSC
TCGA-39-5028-01A-01D-1440-05	6055424076_R02C01_Grn.idat	TCGA-LUSC
TCGA-43-5668-01A-01D-1633-05	6042308120_R05C01_Grn.idat	TCGA-LUSC
TCGA-56-8083-01A-11D-2245-05	6264488072_R03C02_Grn.idat	TCGA-LUSC
TCGA-34-8456-01A-21D-2324-05	7786923103_R05C02_Red.idat	TCGA-LUSC
TCGA-22-5489-01A-01D-1633-05	6042308087_R02C01_Grn.idat	TCGA-LUSC
TCGA-34-8454-01A-11D-2324-05	7786923103_R06C01_Red.idat	TCGA-LUSC
TCGA-33-4582-11A-01D-1440-05	6055424076_R05C02_Grn.idat	TCGA-LUSC
TCGA-22-5473-01A-01D-1633-05	6042308087_R04C02_Grn.idat	TCGA-LUSC
TCGA-85-A512-01A-11D-A26N-05	9305216159_R01C01_Red.idat	TCGA-LUSC
TCGA-56-A4BY-01A-11D-A24I-05	8784241001_R06C02_Grn.idat	TCGA-LUSC
TCGA-98-8020-01A-11D-2245-05	6264488071_R02C01_Red.idat	TCGA-LUSC
TCGA-85-8584-01A-11D-2398-05	8784225109_R01C01_Red.idat	TCGA-LUSC
TCGA-56-8629-01A-11D-2398-05	8784225054_R06C02_Grn.idat	TCGA-LUSC
TCGA-92-8065-01A-11D-2245-05	6264488072_R03C01_Red.idat	TCGA-LUSC
TCGA-22-4599-11A-01D-1440-05	6055424084_R06C02_Grn.idat	TCGA-LUSC
TCGA-77-A5G1-01A-11D-A27L-05	9283265142_R03C01_Grn.idat	TCGA-LUSC
TCGA-34-5241-01A-01D-1440-05	6055424086_R01C02_Red.idat	TCGA-LUSC
TCGA-77-A5GA-01A-11D-A27L-05	9283265144_R05C02_Red.idat	TCGA-LUSC
TCGA-J1-A4AH-01A-31D-A24I-05	8784241001_R03C01_Grn.idat	TCGA-LUSC
TCGA-43-7658-01A-11D-2123-05	6929742075_R03C01_Grn.idat	TCGA-LUSC
TCGA-22-5478-11A-11D-1633-05	6042308120_R04C01_Red.idat	TCGA-LUSC
TCGA-85-7950-01A-11D-2185-05	7786923091_R02C02_Red.idat	TCGA-LUSC
TCGA-77-6845-01A-11D-1947-05	6264496026_R02C02_Grn.idat	TCGA-LUSC
TCGA-63-5131-01A-01D-1440-05	6055424084_R03C01_Red.idat	TCGA-LUSC
TCGA-85-8287-01A-11D-2294-05	6285633054_R04C01_Red.idat	TCGA-LUSC
