id	filename	md5	size	state
01aaea49-a3b7-44bc-aa09-d1fba617939f	01aaea49-a3b7-44bc-aa09-d1fba617939f/9305216133_R06C02_Red.idat	e2346cc09a524efec5d1403dc033a7f7	8095296	validated
0901c389-d02d-4d10-ba87-ce08248302db	0901c389-d02d-4d10-ba87-ce08248302db/8784241020_R04C02_Red.idat	dfbbe771f587fb39b7e1edb0a70ed594	8095257	validated
0e04b156-edae-4983-b63d-ccba5ee5a1ef	0e04b156-edae-4983-b63d-ccba5ee5a1ef/6057825101_R03C02_Grn.idat	b41706e58fa0a36cf224aa20309bca48	8095268	validated
11e5401a-cbaf-478a-86d0-07cea2c4b848	11e5401a-cbaf-478a-86d0-07cea2c4b848/6042308099_R05C02_Red.idat	31aad09423fc1fc6e56097ee9a57ea32	8095236	validated
14395bf1-4261-476b-baf1-87b04fcb342a	14395bf1-4261-476b-baf1-87b04fcb342a/8784241130_R02C02_Grn.idat	91ee6dcb272c73bb738c37609dad6a7a	8095304	validated
14691a1c-a017-46cd-98bb-e8ef370a065c	14691a1c-a017-46cd-98bb-e8ef370a065c/6057825048_R01C02_Grn.idat	20fb85d899783cb6c142e4212e3a5a27	8095236	validated
14975445-be64-420f-afcd-595332796a4d	14975445-be64-420f-afcd-595332796a4d/6055424084_R03C02_Red.idat	4fead13925048091a58cfd092cb0556a	8091452	validated
1522a2b2-ae4c-427c-abb0-0d5d154ba655	1522a2b2-ae4c-427c-abb0-0d5d154ba655/6264488072_R04C01_Red.idat	f6d961b22463d9e5f06f20c631b5caf7	8095267	validated
15adb094-b235-4e6e-ba15-7061e3e7767d	15adb094-b235-4e6e-ba15-7061e3e7767d/6042308087_R01C01_Grn.idat	6a826fdb79d9b041ef9986b944f2f485	8095235	validated
16dced7b-a3a1-4cce-86a1-e4b07f90f636	16dced7b-a3a1-4cce-86a1-e4b07f90f636/8784241130_R01C01_Red.idat	7b21e03b42ec9fecf1de954acff9ae97	8095308	validated
1775c097-8857-4d6d-b3a7-a02a73a12cd7	1775c097-8857-4d6d-b3a7-a02a73a12cd7/6055424084_R03C02_Grn.idat	d57f058f0d3ae218486998fd852f69e4	8091452	validated
19482d3e-ca91-4c52-9e39-167e1f037c24	19482d3e-ca91-4c52-9e39-167e1f037c24/6264496025_R04C02_Grn.idat	d0ed715696c2a73b74c92e7e9eced289	8095259	validated
198ef57a-0b6e-4ef6-97a9-c6b4dfa8ee60	198ef57a-0b6e-4ef6-97a9-c6b4dfa8ee60/6264488074_R06C01_Grn.idat	e22043bf22b3d4faed1c5b2ebcefe937	8095269	validated
1e4a2bc3-3b67-4344-b384-1393ee0202f9	1e4a2bc3-3b67-4344-b384-1393ee0202f9/6042308087_R05C01_Grn.idat	3f5a65be99879d6dc537f0c76aa0bbe4	8095236	validated
1fca0085-92bb-4538-809d-21df464cc332	1fca0085-92bb-4538-809d-21df464cc332/8784225054_R02C02_Red.idat	69d5e0e34999fb266f51abdef6068261	8095344	validated
2448b803-ae9e-4a65-ad25-14e09dc13af2	2448b803-ae9e-4a65-ad25-14e09dc13af2/6929742073_R06C01_Red.idat	5fce3d032758fd047799a4f83bfdd2bf	8095238	validated
253bec4b-730d-4374-9ec8-505e4f304ad3	253bec4b-730d-4374-9ec8-505e4f304ad3/6042308120_R06C01_Red.idat	93525c92f59438c23ad0f002d51de6a6	8095236	validated
285614cf-8041-4758-8c00-a1e8c2b89ecc	285614cf-8041-4758-8c00-a1e8c2b89ecc/6055424086_R05C02_Grn.idat	943b3c24b803f0d768e8ee9cee203858	8091452	validated
2d7dc7b6-9100-4707-b117-9d9e65e703cf	2d7dc7b6-9100-4707-b117-9d9e65e703cf/6055424086_R02C02_Grn.idat	28282661b367aacda777db08e726c97c	8091452	validated
3170ee35-521c-48b9-ae41-d058a79fe191	3170ee35-521c-48b9-ae41-d058a79fe191/6264488074_R02C01_Red.idat	b10e229a9cf5c0b1ce23f185c419c813	8095264	validated
319ec04c-da10-4051-b874-47b0c4bee5d7	319ec04c-da10-4051-b874-47b0c4bee5d7/7786923090_R04C02_Grn.idat	ed50ad3d181dc4f9fd70a7b39df14799	8095274	validated
31f6a946-9270-4f38-94ed-76683ab13a69	31f6a946-9270-4f38-94ed-76683ab13a69/6264496025_R01C02_Grn.idat	4833186869287aad6bee04991caa31c5	8095255	validated
37a3d8f4-0776-413e-ad76-3fb5ab6163f2	37a3d8f4-0776-413e-ad76-3fb5ab6163f2/6057825034_R02C02_Red.idat	bc6d4f1e940fd89124b69e94d2c7f636	8095252	validated
